ID;transfer_ID;name;category;type;size;color;quantity
d1000001-0001-0001-0001-000000000001;c1000001-0001-0001-0001-000000000001;Black Denim Jacket;Men's;Jackets;M;Black;5
d1000001-0001-0001-0001-000000000002;c1000001-0001-0001-0001-000000000001;White Crew Neck T-Shirt;Men's;T-Shirts;L;White;20
d1000001-0001-0001-0001-000000000003;c1000001-0001-0001-0001-000000000001;High Waist Skinny Jeans;Women's;Skinny Jeans;M;Black;10
d1000001-0001-0001-0001-000000000004;c1000001-0001-0001-0001-000000000002;Slim Fit Chinos;Men's;Chinos;L;Navy;8
d1000001-0001-0001-0001-000000000005;c1000001-0001-0001-0001-000000000002;Oversized Hoodie;Men's;Hoodies;XL;Grey;6
d1000001-0001-0001-0001-000000000006;c1000001-0001-0001-0001-000000000002;Floral Print Dress;Women's;Dresses;S;Floral;4
d1000001-0001-0001-0001-000000000007;c1000001-0001-0001-0001-000000000003;Satin Blouse;Women's;Blouses;M;Beige;12
d1000001-0001-0001-0001-000000000008;c1000001-0001-0001-0001-000000000003;Kids Dinosaur T-Shirt;Kids';T-Shirts;122;Green;15
d1000001-0001-0001-0001-000000000009;c1000001-0001-0001-0001-000000000003;Wool Blend Coat;Women's;Coats;S;Black;3
d1000001-0001-0001-0001-000000000010;c1000001-0001-0001-0001-000000000004;Regular Fit Jeans;Men's;Jeans;M;Blue;14
d1000001-0001-0001-0001-000000000011;c1000001-0001-0001-0001-000000000004;Pleated Midi Skirt;Women's;Skirts;S;Red;7
d1000001-0001-0001-0001-000000000012;c1000001-0001-0001-0001-000000000005;Black Denim Jacket;Men's;Jackets;L;Black;3
d1000001-0001-0001-0001-000000000013;c1000001-0001-0001-0001-000000000005;Kids Puffer Jacket;Kids';Jackets;134;Blue;9
d1000001-0001-0001-0001-000000000014;c1000001-0001-0001-0001-000000000006;Striped Cotton T-Shirt;Men's;T-Shirts;M;White;18
d1000001-0001-0001-0001-000000000015;c1000001-0001-0001-0001-000000000006;Wide Leg Jeans;Women's;Jeans;S;Blue;10
d1000001-0001-0001-0001-000000000016;c1000001-0001-0001-0001-000000000006;Kids Rainbow Hoodie;Kids';Hoodies;122;Multi;8
d1000001-0001-0001-0001-000000000017;c1000001-0001-0001-0001-000000000007;Leather Biker Jacket;Men's;Jackets;L;Black;4
d1000001-0001-0001-0001-000000000018;c1000001-0001-0001-0001-000000000007;Wrap Midi Dress;Women's;Dresses;M;Green;6
d1000001-0001-0001-0001-000000000019;c1000001-0001-0001-0001-000000000007;Tailored Slim Chinos;Men's;Chinos;M;Beige;10
d1000001-0001-0001-0001-000000000020;c1000001-0001-0001-0001-000000000008;Silk Cami Top;Women's;Blouses;XS;Pink;5
d1000001-0001-0001-0001-000000000021;c1000001-0001-0001-0001-000000000008;Double Breasted Coat;Women's;Coats;M;Grey;3
d1000001-0001-0001-0001-000000000022;c1000001-0001-0001-0001-000000000008;Relaxed Fit Joggers;Men's;Joggers;L;Grey;12
d1000001-0001-0001-0001-000000000023;c1000001-0001-0001-0001-000000000008;Tiered Mini Skirt;Women's;Skirts;S;Black;7
d1000001-0001-0001-0001-000000000024;c1000001-0001-0001-0001-000000000009;Linen Blazer;Men's;Jackets;M;Navy;6
d1000001-0001-0001-0001-000000000025;c1000001-0001-0001-0001-000000000009;Ribbed Knit Dress;Women's;Dresses;S;Cream;8
d1000001-0001-0001-0001-000000000026;c1000001-0001-0001-0001-000000000010;Puffer Vest;Men's;Jackets;L;Black;10
d1000001-0001-0001-0001-000000000027;c1000001-0001-0001-0001-000000000010;A-Line Midi Skirt;Women's;Skirts;M;Burgundy;5
d1000001-0001-0001-0001-000000000028;c1000001-0001-0001-0001-000000000010;Kids Corduroy Pants;Kids';Pants;128;Brown;12
